placeOfUse,entryAmount,memo,category
카카오택시,74611,티켓 구매,교통
다이소 신촌점,88954,스낵 구입,생활
세븐일레븐 홍대점,115165,카페라떼,편의점
서울교통공사,22127,옷 구매,교통
하나로마트 양재,47263,지하철 요금,마트
현대백화점 무역센터점,29013,생활용품 구매,쇼핑
올리브영 강남점,93729,아메리카노,쇼핑
G마켓,75872,카페라떼,쇼핑
쿠팡이츠,128557,카페라떼,식비
카페베네 종로점,83642,주말 장보기,카페
이마트 용산점,24484,스낵 구입,마트
카카오택시,65049,치킨 세트,교통
이마트 용산점,60411,지하철 요금,마트
GS25 강남역점,78014,카페라떼,편의점
서울교통공사,51655,도서 구매,교통
메가박스 강남,139334,스낵 구입,여가/취미
맥도날드 신림점,3816,주유,식비
카카오택시,28840,스낵 구입,교통
11번가,39358,아메리카노,쇼핑
하나로마트 양재,107625,카페라떼,마트
투썸플레이스 홍대점,2764,카페라떼,카페
코스트코 양재점,108351,식재료 구매,마트
롯데시네마 월드타워,92134,스낵 구입,여가/취미
던킨도너츠 강남역,9130,저녁 배달,카페
쿠팡,91832,저녁 배달,쇼핑
서울교통공사,43973,티켓 구매,교통
G마켓,81650,도서 구매,쇼핑
미스터피자 홍대점,146934,아메리카노,식비
쿠팡,54030,저녁 배달,쇼핑
요기요,45373,주유,식비
메가커피 신촌점,127110,택시요금,카페
SK주유소 방배점,35684,화장품 구매,교통
하이패스,137438,치킨 세트,교통
버거킹 강남점,117307,지하철 요금,식비
롯데시네마 월드타워,3681,택시요금,여가/취미
이마트 용산점,16456,티켓 구매,마트
CGV 압구정,109640,주말 장보기,여가/취미
파파존스 강남점,127952,화장품 구매,식비
쿠팡,53707,택시요금,쇼핑
롯데백화점 본점,125598,점심 식사,쇼핑
미스터피자 홍대점,55439,편의점 간식,식비
홈플러스 강서점,92224,주말 장보기,마트
투썸플레이스 홍대점,115947,화장품 구매,카페
롯데시네마 월드타워,133439,도서 구매,여가/취미
카카오택시,73884,영화 관람,교통
서울교통공사,75275,옷 구매,교통
쿠팡,58489,주유,쇼핑
GS25 강남역점,18375,주유,편의점
맥도날드 신림점,40080,화장품 구매,식비
배민1,41883,점심 식사,식비
교보문고 광화문점,114853,생활용품 구매,여가/취미
롯데백화점 본점,3745,도서 구매,쇼핑
세븐일레븐 홍대점,114593,택시요금,편의점
코스트코 양재점,31628,티켓 구매,마트
스타벅스 강남역점,3055,저녁 배달,카페
버거킹 강남점,81601,화장품 구매,식비
CGV 압구정,76885,편의점 간식,여가/취미
버거킹 강남점,91711,카페라떼,식비
요기요,27425,아메리카노,식비
맘스터치 사당점,16632,저녁 배달,식비
쿠팡,99417,저녁 배달,쇼핑
교보문고 광화문점,36232,저녁 배달,여가/취미
GS25 강남역점,99974,식재료 구매,편의점
YES24,4406,카페라떼,여가/취미
카카오택시,108320,아메리카노,교통
CGV 압구정,73020,식재료 구매,여가/취미
하나로마트 양재,23181,점심 식사,마트
11번가,75149,편의점 간식,쇼핑
롯데시네마 월드타워,142012,저녁 배달,여가/취미
맥도날드 신림점,1499,저녁 배달,식비
스타벅스 강남역점,37792,택시요금,카페
쿠팡이츠,75808,화장품 구매,식비
bhc치킨 대치점,70600,지하철 요금,식비
T맵택시,33882,주유,교통
YES24,104099,식재료 구매,여가/취미
ABC마트 강남점,140403,카페라떼,쇼핑
버거킹 강남점,116610,택시요금,식비
스타벅스 강남역점,73571,카페라떼,카페
맥도날드 신림점,126030,편의점 간식,식비
투썸플레이스 홍대점,99141,식재료 구매,카페
미스터피자 홍대점,2363,영화 관람,식비
카페베네 종로점,41668,치킨 세트,카페
T맵택시,125222,도서 구매,교통
롯데백화점 본점,45525,생활용품 구매,쇼핑
쿠팡,45544,티켓 구매,쇼핑
투썸플레이스 홍대점,13153,아메리카노,카페
하이패스,75992,택시요금,교통
CGV 압구정,81757,점심 식사,여가/취미
11번가,139354,편의점 간식,쇼핑
메가커피 신촌점,113831,옷 구매,카페
G마켓,23436,지하철 요금,쇼핑
세븐일레븐 홍대점,122240,영화 관람,편의점
코스트코 양재점,48348,편의점 간식,마트
알라딘 중고서점 홍대,105628,점심 식사,여가/취미
GS칼텍스 강남대로점,30358,주유,교통
스타벅스 강남역점,5963,지하철 요금,카페
던킨도너츠 강남역,95623,화장품 구매,카페
카페베네 종로점,68302,지하철 요금,카페
미스터피자 홍대점,108469,저녁 배달,식비
교보문고 광화문점,57366,도서 구매,여가/취미
코스트코 양재점,44746,주유,마트
배민1,48516,도서 구매,식비
올리브영 강남점,144642,영화 관람,쇼핑
이디야커피 잠실점,100394,치킨 세트,카페
YES24,142918,카페라떼,여가/취미
배민1,11674,지하철 요금,식비
쿠팡이츠,106136,식재료 구매,식비
GS25 강남역점,101604,택시요금,편의점
ABC마트 강남점,128786,점심 식사,쇼핑
쿠팡이츠,49980,저녁 배달,식비
다이소 신촌점,2965,지하철 요금,생활
쿠팡이츠,109409,아메리카노,식비
서울교통공사,56592,식재료 구매,교통
CU 신림점,66836,스낵 구입,편의점
G마켓,84969,카페라떼,쇼핑
교보문고 광화문점,34070,영화 관람,여가/취미
11번가,8849,옷 구매,쇼핑
bhc치킨 대치점,99068,주말 장보기,식비
ABC마트 강남점,29788,스낵 구입,쇼핑
카페베네 종로점,51904,영화 관람,카페
다이소 신촌점,95640,편의점 간식,생활
쿠팡이츠,88991,점심 식사,식비
메가커피 신촌점,54345,주유,카페
홈플러스 강서점,140796,식재료 구매,마트
미스터피자 홍대점,22106,화장품 구매,식비
스타벅스 강남역점,25892,스낵 구입,카페
파파존스 강남점,83741,주말 장보기,식비
다이소 신촌점,138611,티켓 구매,생활
SK주유소 방배점,52587,점심 식사,교통
카카오택시,30180,지하철 요금,교통
하나로마트 양재,11080,저녁 배달,마트
요기요,17264,티켓 구매,식비
미스터피자 홍대점,2610,택시요금,식비
SK주유소 방배점,76254,카페라떼,교통
메가박스 강남,78658,화장품 구매,여가/취미
코스트코 양재점,141167,스낵 구입,마트
현대백화점 무역센터점,100990,치킨 세트,쇼핑
스타벅스 강남역점,75253,주유,카페
GS25 강남역점,81899,식재료 구매,편의점
맘스터치 사당점,10269,도서 구매,식비
현대백화점 무역센터점,116262,점심 식사,쇼핑
이마트 용산점,149130,아메리카노,마트
배민1,107467,저녁 배달,식비
ABC마트 강남점,63249,티켓 구매,쇼핑
하나로마트 양재,34139,스낵 구입,마트
홈플러스 강서점,87414,택시요금,마트
GS칼텍스 강남대로점,96504,점심 식사,교통
던킨도너츠 강남역,36007,치킨 세트,카페
메가커피 신촌점,14927,티켓 구매,카페
CGV 압구정,62853,편의점 간식,여가/취미
하나로마트 양재,37896,택시요금,마트
쿠팡이츠,82313,택시요금,식비
카카오택시,92886,주말 장보기,교통
카카오택시,139867,옷 구매,교통
하나로마트 양재,149837,아메리카노,마트
교촌치킨 서초점,95731,아메리카노,식비
쿠팡이츠,101378,티켓 구매,식비
하나로마트 양재,63495,택시요금,마트
카카오택시,141616,식재료 구매,교통
11번가,94158,아메리카노,쇼핑
스타벅스 강남역점,102432,편의점 간식,카페
투썸플레이스 홍대점,38411,지하철 요금,카페
메가커피 신촌점,149207,아메리카노,카페
YES24,50422,식재료 구매,여가/취미
미스터피자 홍대점,138847,주말 장보기,식비
CU 신림점,74919,옷 구매,편의점
파파존스 강남점,31027,점심 식사,식비
미스터피자 홍대점,106139,저녁 배달,식비
T맵택시,23802,티켓 구매,교통
롯데백화점 본점,73013,편의점 간식,쇼핑
코스트코 양재점,137843,저녁 배달,마트
세븐일레븐 홍대점,30548,영화 관람,편의점
하나로마트 양재,50122,옷 구매,마트
서울교통공사,56079,티켓 구매,교통
배민1,15867,옷 구매,식비
하이패스,70867,택시요금,교통
배민1,136459,식재료 구매,식비
롯데시네마 월드타워,64944,식재료 구매,여가/취미
쿠팡,49412,치킨 세트,쇼핑
서울교통공사,139899,치킨 세트,교통
다이소 신촌점,123267,택시요금,생활
bhc치킨 대치점,34434,치킨 세트,식비
ABC마트 강남점,138613,저녁 배달,쇼핑
요기요,48733,카페라떼,식비
미스터피자 홍대점,148502,치킨 세트,식비
G마켓,138734,주말 장보기,쇼핑
11번가,124125,택시요금,쇼핑
맘스터치 사당점,13290,식재료 구매,식비
세븐일레븐 홍대점,73904,주말 장보기,편의점
쿠팡,145434,티켓 구매,쇼핑
서울교통공사,75549,지하철 요금,교통
배민1,75692,스낵 구입,식비
현대백화점 무역센터점,90113,편의점 간식,쇼핑
버거킹 강남점,106668,저녁 배달,식비
카페베네 종로점,43444,화장품 구매,카페
세븐일레븐 홍대점,128890,영화 관람,편의점
bhc치킨 대치점,89826,편의점 간식,식비
카카오택시,13318,옷 구매,교통
CU 신림점,35253,지하철 요금,편의점
BBQ치킨 역삼점,105203,주말 장보기,식비
요기요,80062,식재료 구매,식비
카카오택시,133995,저녁 배달,교통
알라딘 중고서점 홍대,21143,아메리카노,여가/취미
파파존스 강남점,147369,주말 장보기,식비
이디야커피 잠실점,83022,아메리카노,카페
GS25 강남역점,80183,화장품 구매,편의점
요기요,120565,도서 구매,식비
메가커피 신촌점,138881,옷 구매,카페
GS칼텍스 강남대로점,83322,주말 장보기,교통
요기요,12993,점심 식사,식비
홈플러스 강서점,118923,스낵 구입,마트
bhc치킨 대치점,31164,점심 식사,식비
세븐일레븐 홍대점,141884,티켓 구매,편의점
요기요,148668,카페라떼,식비
카카오택시,59959,편의점 간식,교통
하이패스,113926,티켓 구매,교통
YES24,134920,저녁 배달,여가/취미
카페베네 종로점,122380,저녁 배달,카페
파파존스 강남점,42530,아메리카노,식비
메가커피 신촌점,95174,점심 식사,카페
메가박스 강남,43784,스낵 구입,여가/취미
하나로마트 양재,99704,화장품 구매,마트
다이소 신촌점,31167,티켓 구매,생활
코스트코 양재점,93314,영화 관람,마트
요기요,86072,아메리카노,식비
세븐일레븐 홍대점,102444,저녁 배달,편의점
배민1,47058,저녁 배달,식비
다이소 신촌점,58029,생활용품 구매,생활
코스트코 양재점,16764,티켓 구매,마트
롯데백화점 본점,147017,택시요금,쇼핑
G마켓,42816,치킨 세트,쇼핑
홈플러스 강서점,38000,도서 구매,마트
메가커피 신촌점,36154,택시요금,카페
현대백화점 무역센터점,23254,스낵 구입,쇼핑
알라딘 중고서점 홍대,80967,치킨 세트,여가/취미
ABC마트 강남점,14685,티켓 구매,쇼핑
롯데시네마 월드타워,49108,점심 식사,여가/취미
던킨도너츠 강남역,92048,생활용품 구매,카페
하나로마트 양재,74232,점심 식사,마트
롯데백화점 본점,127220,스낵 구입,쇼핑
GS25 강남역점,27357,택시요금,편의점
메가커피 신촌점,98993,주말 장보기,카페
이마트 용산점,99844,도서 구매,마트
YES24,59357,스낵 구입,여가/취미
배민1,122025,도서 구매,식비
이디야커피 잠실점,39351,아메리카노,카페
메가커피 신촌점,81377,저녁 배달,카페
다이소 신촌점,90354,택시요금,생활
카페베네 종로점,139039,택시요금,카페
맘스터치 사당점,58073,화장품 구매,식비
미스터피자 홍대점,13849,식재료 구매,식비
이마트 용산점,73892,주말 장보기,마트
BBQ치킨 역삼점,73871,주유,식비
11번가,73859,택시요금,쇼핑
G마켓,22990,편의점 간식,쇼핑
알라딘 중고서점 홍대,26491,치킨 세트,여가/취미
배민1,119259,치킨 세트,식비
G마켓,85106,아메리카노,쇼핑
롯데백화점 본점,57008,옷 구매,쇼핑
이마트 용산점,69599,치킨 세트,마트
G마켓,108745,점심 식사,쇼핑
서울교통공사,100848,화장품 구매,교통
11번가,102409,주말 장보기,쇼핑
올리브영 강남점,135825,식재료 구매,쇼핑
교촌치킨 서초점,6974,편의점 간식,식비
알라딘 중고서점 홍대,106814,택시요금,여가/취미
bhc치킨 대치점,81348,지하철 요금,식비
설빙 신촌점,107270,스낵 구입,카페
SK주유소 방배점,55315,스낵 구입,교통
이디야커피 잠실점,83112,주유,카페
스타벅스 강남역점,147101,영화 관람,카페
던킨도너츠 강남역,42729,지하철 요금,카페
롯데시네마 월드타워,61855,주유,여가/취미
다이소 신촌점,7972,식재료 구매,생활
미스터피자 홍대점,54264,티켓 구매,식비
T맵택시,96794,주유,교통
롯데백화점 본점,24570,주유,쇼핑
하나로마트 양재,36051,주유,마트
하나로마트 양재,38557,편의점 간식,마트
이디야커피 잠실점,123379,티켓 구매,카페
버거킹 강남점,111495,주말 장보기,식비
맘스터치 사당점,30820,아메리카노,식비
현대백화점 무역센터점,81684,스낵 구입,쇼핑
GS25 강남역점,32029,티켓 구매,편의점
요기요,127903,도서 구매,식비
메가박스 강남,126994,편의점 간식,여가/취미
GS25 강남역점,70335,주유,편의점
하나로마트 양재,58801,카페라떼,마트
메가커피 신촌점,40764,주유,카페
메가커피 신촌점,138541,스낵 구입,카페
교촌치킨 서초점,139759,카페라떼,식비
CU 신림점,51915,편의점 간식,편의점
버거킹 강남점,6630,주말 장보기,식비
메가커피 신촌점,130283,택시요금,카페
CGV 압구정,128821,택시요금,여가/취미
CU 신림점,4746,티켓 구매,편의점
CU 신림점,71865,점심 식사,편의점
ABC마트 강남점,49055,편의점 간식,쇼핑
버거킹 강남점,13612,지하철 요금,식비
하이패스,30753,영화 관람,교통
스타벅스 강남역점,54256,스낵 구입,카페
